x,y
1.1,1.1
1.0022,1.13143
0.929667,1.19703
0.844816,1.25144
0.802866,1.30533
0.764126,1.38683
0.792767,1.47919
0.776486,1.59608
0.711446,1.70223
0.666497,1.83037
0.638621,1.94862
0.654842,2.07296
0.682891,2.18459
0.681475,2.31232
0.732239,2.46679
0.816282,2.59283
0.897785,2.71077
0.935057,2.85614
0.939034,2.9976
0.98257,3.14373
1.04899,3.2677
1.17075,3.35357
1.28706,3.45171
1.42581,3.54982
1.56534,3.65151
1.67096,3.80054
1.8108,3.91509
1.98026,3.988
2.15713,3.98159
2.32126,4.03849
2.47062,4.16389
2.62372,4.21672
2.76565,4.3378
2.95061,4.38693
3.11246,4.46298
3.29294,4.52477
3.48571,4.57921
3.69288,4.58523
3.88624,4.58325
4.04299,4.591
4.2306,4.53633
4.38884,4.48767
4.52879,4.34504
4.63376,4.1757
4.67671,3.98792
4.66931,3.78183
4.66359,3.60495
4.64315,3.4187
4.54055,3.22333
4.45163,3.0577
4.41661,2.87755
4.36853,2.6808
4.32443,2.48902
4.28601,2.31361
4.27629,2.11665
4.18792,1.94171
4.1008,1.7695
4.07327,1.57193
4.03981,1.3941
4.01932,1.2082
4.04569,1.01548
